Numero troncon;Num Noeud Origine;Num Noeud Destination;Type BPR;LONG (km);CAPATI (veh/h);V0TI (km/h)
24050;294775435;988673348;3;0,105792;2000;70
24051;7099450056;294775435;3;0,093874;2000;70
24052;294775435;7099450056;3;0,093874;2000;70
24053;988673491;294775453;3;0,141122;2000;70
24054;294775453;988673491;3;0,141122;2000;70
24055;988673530;294775453;3;0,149384;2000;70
24056;294775453;988673530;3;0,149384;2000;70
24057;988673143;294775488;3;0,041763;2000;70
24058;294775488;988673143;3;0,041763;2000;70
24059;728647677;294775488;3;0,041546;2000;70
24060;294775488;728647677;3;0,041546;2000;70
24061;1243100038;294775961;3;0,091454;2000;70
24062;294775961;1243100038;3;0,091454;2000;70
24063;2081219439;294775961;3;0,141304;2000;70
24064;294775961;2081219439;3;0,141304;2000;70
24065;2466486589;294776480;3;0,051832;2000;70
24066;294776480;2466486589;3;0,051832;2000;70
24067;294784071;294776480;3;0,056784;2000;70
24068;294776480;294784071;3;0,056784;2000;70
24069;294776767;2399806430;3;0,015529;2000;70
24070;2399806396;294776767;3;0,010317;2000;70
24071;1410486432;294778867;3;0,041616;3000;70
24072;294778867;1410486432;3;0,041616;3000;70
24073;294778867;294779350;3;0,035467;3000;70
24074;294779350;294778867;3;0,036127;3000;70
24075;2192255617;294779249;3;0,039203;3000;70
24076;294779249;2192255617;3;0,039203;3000;70
24077;294779249;2192255631;3;0,041666;3000;70
24078;2192255642;294779249;3;0,042579;3000;70
24079;9139675415;294779350;3;0,119733;3000;70
24080;294779350;9139675415;3;0,119733;3000;70
24081;10576817088;294779948;3;0,032142;3000;70
24082;294779948;10576817088;3;0,032142;3000;70
24083;294779948;2192255630;3;0,050223;3000;70
24084;2192255623;294779948;3;0,047467;3000;70
24085;294779966;294780195;3;0,241164;3000;70
24086;7097798498;294779966;3;0,017195;3000;70
24087;9139686242;294779966;3;0,025113;3000;70
24088;10576817088;294780170;3;0,382595;3000;70
24089;294780170;10576817088;3;0,382595;3000;70
24090;294780170;7097798487;3;0,120325;3000;70
24091;9139686229;294780170;3;0,160142;3000;70
24092;294780195;9139686232;3;0,207328;3000;70
24093;294780375;2192255656;3;0,033175;3000;70
24094;10576817092;294780375;3;0,053932;3000;70
24095;294780375;10576817092;3;0,053932;3000;70
24096;2192255647;294780375;3;0,032506;3000;70
24097;1154355710;294780980;3;0,010697;2000;70
24098;294780980;1154355710;3;0,010697;2000;70
24099;1243100038;294780980;3;0,044375;2000;70
24100;294780980;1243100038;3;0,044375;2000;70
24101;1154355718;294781361;3;0,11781;2000;70
24102;294781361;1154355718;3;0,11781;2000;70
24103;1149065826;294781361;3;0,042472;2000;70
24104;294781361;1149065826;3;0,042472;2000;70
24105;1241782552;294781361;3;0,071463;2000;70
24106;294781361;1241782552;3;0,071463;2000;70
24107;333049438;294781364;3;0,032913;2000;70
24108;294781364;333049438;3;0,032913;2000;70
24109;294781364;9139686229;3;0,032393;3000;70
24110;7097798499;294781364;3;0,024358;2000;70
24111;294781364;7097798499;3;0,024358;2000;70
24112;9139686228;294781364;3;0,026895;3000;70
24113;294782977;2399806527;3;0,063241;2000;70
24114;1468389440;294782977;3;0,158732;2000;70
24115;294783984;2399806517;3;0,072253;2000;70
24116;294784118;294783984;3;0,060578;2000;70
24117;294784850;294784071;3;0,089832;2000;70
24118;294784071;294784850;3;0,089832;2000;70
24119;294784257;294784118;3;0,065961;2000;70
24120;2399806430;294784257;3;0,077021;2000;70
24121;7083573562;294784486;3;0,071582;2000;70
24122;294784486;7083573562;3;0,071582;2000;70
24123;4149605457;294784486;3;0,126338;2000;70
24124;294784486;4149605457;3;0,126338;2000;70
24125;1329724757;294785588;3;0,037713;3000;70
24126;294785588;1329724757;3;0,037713;3000;70
24127;7085718952;294785588;3;0,036341;3000;70
24128;294785588;7085718952;3;0,036341;3000;70
24129;976931403;294786002;3;0,025844;3000;70
24130;294786002;976931403;3;0,025844;3000;70
24131;615920284;294786002;3;0,08939;3000;70
24132;294786002;615920284;3;0,08939;3000;70
24133;615920284;294786169;3;0,043534;3000;70
24134;294786169;615920284;3;0,043534;3000;70
24135;1329724757;294786169;3;0,047122;3000;70
24136;294786169;1329724757;3;0,047122;3000;70
24137;976931403;294786471;3;0,078068;3000;70
24138;294786471;976931403;3;0,078068;3000;70
24139;1243100019;294786471;3;0,119944;3000;70
24140;294786471;1243100019;3;0,119944;3000;70
24141;295185531;295185579;3;0,006045;2000;70
24142;295185673;295185531;3;0,010949;2000;70
24143;10870316497;295185531;3;0,023955;2000;70
24144;295185569;295185688;3;0,015574;2000;70
24145;10814210154;295185569;3;0,003477;2000;70
24146;295185579;10870316491;3;0,012124;2000;70
24147;295185579;10814210154;3;0,014249;2000;70
24148;295185607;295185673;3;0,004964;2000;70
24149;295185754;295185607;3;0,010563;2000;70
24150;295185621;1249196713;3;0,015691;2000;70
24151;313768769;295185621;3;0,692622;2000;70
24152;295185621;313768769;3;0,692622;2000;70
24153;313769844;295185621;3;0,022499;2000;70
24154;295185673;10870316497;3;0,024191;2000;70
24155;295185688;295185754;3;0,007523;2000;70
24156;1249196713;295185695;3;0,016271;2000;70
24157;1249196856;295185695;3;0,020768;2000;70
24158;311287021;295185701;3;0,108606;2000;70
24159;295185701;311287021;3;0,108606;2000;70
24160;313766897;295185701;3;0,200349;2000;70
24161;295185701;313766897;3;0,200349;2000;70
24162;302050334;302050281;3;0,043128;2000;70
24163;304989333;304989332;3;0,143612;2000;70
24164;304989332;304989333;3;0,143612;2000;70
24165;2277559471;304989332;3;0,761172;2000;70
24166;304989332;2277559471;3;0,761172;2000;70
24167;1836133566;304989332;3;0,623638;2000;70
24168;304989332;1836133566;3;0,623638;2000;70
24169;304989648;304989332;3;0,120488;2000;70
24170;304989332;304989648;3;0,120488;2000;70
24171;1829720798;304989333;3;0,257688;2000;70
24172;304989333;1829720798;3;0,257688;2000;70
24173;1829721036;304989648;3;0,605467;2000;70
24174;304989648;1829721036;3;0,605467;2000;70
24175;515520394;305048905;3;0,116935;2000;70
24176;305048905;515520394;3;0,116935;2000;70
24177;977972240;305048905;3;0,149152;2000;70
24178;305048905;977972240;3;0,149152;2000;70
24179;1836140668;305048905;3;0,083756;2000;70
24180;305048905;1836140668;3;0,083756;2000;70
24181;2296767036;305050199;3;0,110777;2000;70
24182;305050199;2296767036;3;0,110777;2000;70
24183;977971961;305050199;3;0,232875;2000;70
24184;305050199;977971961;3;0,232875;2000;70
24185;305050549;1940745397;3;0,02415;2000;70
24186;1836140736;305050549;3;0,031692;2000;70
24187;305050553;457831278;3;0,017035;2000;70
24188;4785815236;305050553;3;0,086735;2000;70
24189;305050553;4785815236;3;0,086735;2000;70
24190;4785816154;305050553;3;0,036383;2000;70
24191;305051604;307679644;4;1,735507;800;50
24192;305052275;305051604;4;0,593582;800;50
24193;4785816154;305051604;4;0,29079;800;50
24194;305052275;457831278;4;0,280959;800;50
24195;2296769352;305052275;4;2,439999;800;50
24196;305054794;309602445;3;0,036437;2000;70
24197;1124627830;305054794;3;0,283822;2000;70
24198;305054794;1124627830;3;0,283822;2000;70
24199;309602447;305054794;3;0,024713;2000;70
24200;7021321284;306205110;3;0,28797;3000;70
24201;306205110;7021321284;3;0,28797;3000;70
24202;2269887550;306205110;3;0,374312;3000;70
24203;306205110;2269887550;3;0,374312;3000;70
