Num‚ro de noeud;X;Y
244610072;-0,6547422;44,8639071
244610083;-0,6233129;44,882389
244613804;-0,5172614;44,88448
244614101;-0,5547131;44,8832443
244614113;-0,6003917;44,8891321
244614114;-0,6039018;44,8893709
244616428;-0,6285027;44,8809882
244616429;-0,6288813;44,8813159
244617305;-0,6282017;44,8798405
244617843;-0,6313038;44,8776819
244617988;-0,6272814;44,8793328
244618202;-0,6311349;44,877561
244619370;-0,6270228;44,8804982
244619715;-0,6262938;44,8799507
244626755;-0,6109297;44,8856221
244626759;-0,6104361;44,8881545
244626763;-0,6129286;44,8915159
244626764;-0,6132782;44,8916444
244627087;-0,6133428;44,8914149
244627695;-0,613998;44,88954
244627700;-0,6188619;44,8885789
244628132;-0,6142624;44,8885932
244628636;-0,5996008;44,8882548
244628638;-0,6006007;44,8897345
244628639;-0,6009121;44,8902492
244628767;-0,6020155;44,8897806
244629216;-0,6006029;44,8903981
244629504;-0,6001945;44,8879355
244629739;-0,6004029;44,8881082
244630464;-0,5804208;44,8876588
244631658;-0,5601339;44,8879743
244632302;-0,5624702;44,883005
244632307;-0,5624818;44,8817327
244633530;-0,5637852;44,8775965
244635971;-0,5560428;44,883603
244636549;-0,5612151;44,8820646
244636554;-0,5597879;44,8840876
244637045;-0,5618602;44,883126
244638556;-0,5658702;44,8860423
244638557;-0,5646476;44,885632
244639203;-0,5682128;44,8859407
244639209;-0,5727817;44,88724
244645764;-0,5665757;44,8703068
245001375;-0,627693;44,850596
245001675;-0,6309325;44,8512622
245001856;-0,6247921;44,8552792
245003734;-0,6206481;44,8528701
245003737;-0,6254629;44,8556619
245003738;-0,6277329;44,8561502
245005497;-0,6000403;44,8492225
245005498;-0,599048;44,8488326
245005499;-0,5984835;44,8486148
245005512;-0,6048112;44,8500915
245011736;-0,5798703;44,8446016
245413389;-0,5753519;44,8657448
245413390;-0,5752445;44,8659247
245413391;-0,575269;44,8660652
245413396;-0,5760482;44,8657406
245413480;-0,5755955;44,8656387
245460627;-0,5101518;44,8795779
245461416;-0,5099886;44,8796226
245461705;-0,5147526;44,8847505
245462258;-0,5093348;44,8784243
245465416;-0,5854748;44,7814509
245465420;-0,585544;44,782851
245465501;-0,5856786;44,7834985
